Trial,alpha_18,alpha_20,ASR,NGR,Score
0,0.672926743284607,0.2673465130707746,0.81,0.0,0.81
1,0.4970441098919728,0.14801110897287184,0.59,0.0,0.59
2,0.9011857288964352,0.637483943283486,0.94,0.01,0.9299999999999999
3,0.027070910643737567,0.9007448040947671,0.8,0.0,0.8
4,0.13082403531497933,0.3661046892361691,0.53,0.0,0.53
5,0.8402936848777253,0.9007364166377787,0.97,0.15,0.82
6,0.5876303782035224,0.010132188810196396,0.57,0.0,0.57
7,0.7340827144866945,0.10938637520187577,0.74,0.0,0.74
8,0.9760428964552594,0.9449832680454959,0.96,0.22,0.74
9,0.5779158760422973,0.4113877212645819,0.8,0.0,0.8
10,0.3462110219750378,0.658639034649356,0.86,0.01,0.85
11,0.28975500727817816,0.6805345110453738,0.82,0.0,0.82
12,0.37536256036526094,0.6257431967372573,0.84,0.0,0.84
13,0.3395126433464021,0.6563310672668258,0.87,0.01,0.86
14,0.9471169721140806,0.7662076662420038,0.96,0.13,0.83
15,0.24531354791487237,0.5258386908823574,0.71,0.0,0.71
16,0.4460209401213967,0.7821812313843235,0.89,0.0,0.89
17,0.46786928733438177,0.8265783523390857,0.92,0.0,0.92
18,0.8071571533325484,0.5384438618848912,0.89,0.0,0.89
19,0.5908672821341404,0.8171223234580257,0.95,0.01,0.94
20,0.8666445732916563,0.9796381611259507,0.96,0.2,0.76
21,0.6134947146562872,0.7738022654943464,0.94,0.0,0.94
22,0.6274160726610358,0.7648788325619446,0.93,0.0,0.93
23,0.6436800260425372,0.8367858243094356,0.93,0.01,0.92
24,0.7319852633723218,0.7532772803547704,0.94,0.0,0.94
25,0.7174114737529358,0.7185227932041421,0.94,0.01,0.9299999999999999
26,0.7659537361862643,0.8620136712311689,0.94,0.05,0.8899999999999999
27,0.5409108634138573,0.5917012648261201,0.88,0.0,0.88
28,0.6900999927330888,0.4292875761964731,0.86,0.0,0.86
29,0.6615468235908962,0.9970968629061823,0.94,0.06,0.8799999999999999
