Trial,alpha_15,alpha_17,alpha_18,ASR,NGR,Score
0,0.9503552996602769,0.44890874304801165,0.9655915952803455,0.97,0.0,0.97
1,0.3376601961185287,0.20912587291105234,0.6147186343266712,0.84,0.0,0.84
2,0.6595519291790777,0.08702872485359048,0.9035986794155788,0.91,0.01,0.9
3,0.4994625405450922,0.39320234616743743,0.9369832764324695,0.93,0.01,0.92
4,0.6538753951270793,0.325684672128286,0.2635674254845194,0.83,0.0,0.83
5,0.09298493769985694,0.3082182845136797,0.6412267555705246,0.94,0.0,0.94
6,0.542124189174079,0.97775161836124,0.5885191488458273,0.95,0.01,0.94
7,0.25810716646331944,0.23037534234015788,0.42174286495341906,0.68,0.0,0.68
8,0.06901499447058179,0.002914836286524336,0.06351930431367936,0.16,0.0,0.16
9,0.8799838867690594,0.2788099706103855,0.1474610177089395,0.84,0.0,0.84
10,0.9234115196760766,0.6628202472998825,0.8718024897671431,0.96,0.0,0.96
11,0.941651443003347,0.6388863311552677,0.7863045152671221,0.97,0.01,0.96
12,0.8071583487262558,0.6399367644233374,0.7967602297548798,0.96,0.0,0.96
13,0.9880451568367582,0.5755422881891022,0.9898381845674651,0.99,0.0,0.99
14,0.7609990893789392,0.5014025808185036,0.9977819388674276,0.96,0.0,0.96
15,0.9934633556767561,0.7642876210497016,0.737068002324355,0.98,0.0,0.98
16,0.9975174942136213,0.8700356889763867,0.7110414761860209,0.97,0.0,0.97
17,0.7857841810915044,0.7940158546433228,0.4025935033787694,0.97,0.0,0.97
18,0.6647568326079234,0.5481769511670754,0.7855743277846072,0.96,0.01,0.95
19,0.42847353337085337,0.7550203839145635,0.48902777371590467,0.98,0.01,0.97
20,0.8539987480828104,0.9674911934017025,0.7048336168307445,0.96,0.02,0.94
21,0.998327320627968,0.4571852951089099,0.9881945201436712,0.97,0.0,0.97
22,0.7350760900774496,0.7287886306395224,0.8526629672723982,0.96,0.0,0.96
23,0.8916159465734969,0.5982129530478286,0.9199029433222972,0.97,0.01,0.96
24,0.9862432983902587,0.42825686987798744,0.7297689220950754,0.99,0.0,0.99
25,0.8276392240747057,0.8463241054986925,0.6963516625058002,0.95,0.0,0.95
26,0.9985981013247688,0.5424330477919036,0.5361129359170239,0.94,0.01,0.9299999999999999
27,0.7254681937278249,0.40722624845799726,0.822629462849398,0.95,0.01,0.94
28,0.5978366468117344,0.6885416909279705,0.7287800100765236,0.96,0.02,0.94
29,0.9218559879581537,0.8953773658674014,0.3255944284675301,0.98,0.01,0.97
