Trial,alpha_14,alpha_16,ASR,NGR,Score
0,0.09200917296907862,0.808712095685033,0.71,0.0,0.71
1,0.6497276857026899,0.7774372644786525,0.86,0.0,0.86
2,0.20997378341824513,0.13734227930228238,0.28,0.0,0.28
3,0.9987016194996952,0.6843613427398543,0.85,0.03,0.82
4,0.8151284986540592,0.3056540031066264,0.73,0.01,0.72
5,0.2514232630892125,0.7210392497953172,0.69,0.0,0.69
6,0.2915903958084708,0.4516502592148992,0.58,0.0,0.58
7,0.38451917680069514,0.6975624275696399,0.72,0.0,0.72
8,0.30710880406433594,0.8098684203991905,0.74,0.0,0.74
9,0.026790029684741423,0.654898700156473,0.56,0.0,0.56
10,0.6252212332293008,0.9850257447313171,0.82,0.0,0.82
11,0.9933228869030002,0.4891179984843714,0.79,0.0,0.79
12,0.6699566457705333,0.985937745627476,0.86,0.02,0.84
13,0.5937996344085943,0.985006554162151,0.85,0.0,0.85
14,0.5269725107430845,0.8884218690846268,0.84,0.01,0.83
15,0.8022371567999103,0.8730655395110067,0.89,0.03,0.86
16,0.7630379486420131,0.5635305293922306,0.78,0.0,0.78
17,0.8241491785605854,0.8399738697834763,0.87,0.01,0.86
18,0.43729175375976514,0.0004107690170053191,0.39,0.0,0.39
19,0.8725240737429224,0.5853133879194566,0.84,0.0,0.84
20,0.7094577133843171,0.40048175100867833,0.7,0.0,0.7
21,0.8712843004027732,0.8511025924489208,0.86,0.02,0.84
22,0.7643346541722645,0.8891515169637625,0.89,0.03,0.86
23,0.9066455793595473,0.7837225370259079,0.88,0.0,0.88
24,0.9222389037342206,0.7761870020946068,0.85,0.01,0.84
25,0.5579250609398284,0.6300449395887319,0.73,0.0,0.73
26,0.7031761624528627,0.7409790248963353,0.86,0.0,0.86
27,0.9185611587149451,0.8950072899575885,0.87,0.04,0.83
28,0.7823659085231254,0.946392704648099,0.87,0.01,0.86
29,0.6615053087291243,0.7816191169435678,0.87,0.0,0.87
