Trial,alpha_17,alpha_18,ASR,NGR,Score
0,0.8796024387855295,0.4839829371776042,0.95,0.0,0.95
1,0.9413386821566396,0.2028102419293678,0.93,0.01,0.92
2,0.1859708179442211,0.6260889077952045,0.7,0.0,0.7
3,0.16265943953533746,0.8608694212302568,0.86,0.0,0.86
4,0.19513641416255167,0.40187939031724274,0.41,0.02,0.38999999999999996
5,0.5254591925729907,0.03505942998732947,0.61,0.01,0.6
6,0.7717421793188588,0.21010393357070978,0.94,0.0,0.94
7,0.8376614663164001,0.501045666459326,0.96,0.01,0.95
8,0.04219351966743701,0.5929831051436805,0.4,0.01,0.39
9,0.5144673445642507,0.9001569019024319,0.94,0.0,0.94
10,0.6906174588118068,0.7375335748690265,0.95,0.0,0.95
11,0.9679541842275562,0.3947500038930324,0.95,0.0,0.95
12,0.7690980537877083,0.4529074632402419,0.93,0.0,0.93
13,0.8422626637100479,0.26971230536606566,0.94,0.0,0.94
14,0.6337468750963662,0.6036412339756148,0.95,0.0,0.95
15,0.40190146258257464,0.751111804757154,0.91,0.0,0.91
16,0.990194650738708,0.5175973067845833,0.97,0.0,0.97
17,0.9466190085397463,0.31006551230021195,0.96,0.0,0.96
18,0.3494337451232933,0.3067040503319751,0.65,0.02,0.63
19,0.9754824303580167,0.132224832540625,0.93,0.0,0.93
20,0.6238177357358423,0.36098583902429066,0.91,0.01,0.9
21,0.8805504766160357,0.5581537353157233,0.94,0.01,0.9299999999999999
22,0.9951544165080328,0.6991262950101069,0.95,0.0,0.95
23,0.7563193538129734,0.4889747027097287,0.95,0.0,0.95
24,0.8902635165493632,0.3234934360032309,0.95,0.0,0.95
25,0.87288763798252,0.5004055892632294,0.95,0.0,0.95
26,0.7085418374793768,0.06511914405959757,0.88,0.0,0.88
27,0.9254531589603839,0.9759696576304993,0.98,0.0,0.98
28,0.9328746836236382,0.8463196035649865,0.96,0.0,0.96
29,0.790256587421661,0.9832966203428805,0.96,0.02,0.94
