Trial,alpha_17,alpha_18,ASR,NGR,Score
0,0.3934856522923619,0.43985403037352655,0.79,0.0,0.79
1,0.43658640457510534,0.1006419874308695,0.51,0.0,0.51
2,0.5492115999460269,0.8570097348945419,0.92,0.01,0.91
3,0.6494090868186541,0.5183994043826977,0.91,0.0,0.91
4,0.7166663005795427,0.5370675707992775,0.91,0.0,0.91
5,0.4214325983526792,0.6025318390018679,0.89,0.0,0.89
6,0.41473007219908975,0.6049019368044183,0.87,0.0,0.87
7,0.09312310868951112,0.8908186110873305,0.86,0.0,0.86
8,0.28474169785311143,0.8960965047201276,0.91,0.0,0.91
9,0.38419429730253074,0.24019315050787327,0.57,0.0,0.57
10,0.9830794439614211,0.9878266661536292,0.97,0.13,0.84
11,0.7008282042665029,0.7681790409793798,0.93,0.0,0.93
12,0.6958684453439794,0.7696328621379783,0.94,0.01,0.9299999999999999
13,0.8516160871174713,0.7600089810158986,0.96,0.01,0.95
14,0.9013648876567957,0.7135590389292144,0.94,0.02,0.9199999999999999
15,0.8288606773573625,0.36507269683631083,0.94,0.0,0.94
16,0.8536551037118991,0.3574933479495744,0.93,0.0,0.93
17,0.8269586283279431,0.3183462852555291,0.93,0.0,0.93
18,0.9693900896332777,0.11873006580494072,0.93,0.0,0.93
19,0.5760194070150892,0.006800511117861285,0.57,0.0,0.57
20,0.792518592739129,0.38449911341175363,0.92,0.0,0.92
21,0.7548320937954601,0.7113847171854587,0.95,0.0,0.95
22,0.8925227045620315,0.7002077776184547,0.94,0.0,0.94
23,0.7710038371862331,0.6444147128280844,0.93,0.01,0.92
24,0.6154348248458508,0.2696072172842765,0.85,0.0,0.85
25,0.9207948938189028,0.45273959811885955,0.93,0.0,0.93
26,0.7589919575016159,0.8094982929878469,0.96,0.01,0.95
27,0.7651247284073208,0.9971825522333672,0.97,0.02,0.95
28,0.5092243601503923,0.7917388002147969,0.92,0.0,0.92
29,0.2371929573842132,0.8409327206779185,0.91,0.0,0.91
