Trial,alpha_14,alpha_15,alpha_16,ASR,NGR,Score
0,0.6550931784213648,0.9294198719140608,0.4378603965977341,0.85,0.05,0.7999999999999999
1,0.06167095312195947,0.5785217900369367,0.19731165303279363,0.65,0.0,0.65
2,0.8727102506048223,0.5350387567032415,0.9592249953660755,0.91,0.31,0.6000000000000001
3,0.8741896788877573,0.7087254871751383,0.05004679166166859,0.83,0.01,0.82
4,0.6307304033227852,0.15620759553268937,0.21919008994506683,0.67,0.0,0.67
5,0.6102577672208107,0.3043074660171846,0.6987842554794468,0.83,0.01,0.82
6,0.6382093426611027,0.8675008201083831,0.4902734205332093,0.83,0.04,0.7899999999999999
7,0.033189085810734986,0.8760394765291175,0.4073484200083103,0.82,0.0,0.82
8,0.08595613866771201,0.8585739113886588,0.682113825859843,0.87,0.0,0.87
9,0.11583039790963556,0.5885141976571449,0.13813893493348595,0.63,0.0,0.63
10,0.277399196693,0.2618268091172178,0.7595778545499317,0.78,0.0,0.78
11,0.9670801212798035,0.7726340537049883,0.6957841369374339,0.9,0.35,0.55
12,0.3375691357796796,0.7217984280150009,0.0015019946893020386,0.7,0.01,0.69
13,0.41266056509249893,0.7085059678890278,0.8809237610173031,0.87,0.1,0.77
14,0.8178707040192229,0.39912856472672753,0.5959725309934684,0.87,0.02,0.85
15,0.2156333943915474,0.4427906183614857,0.5959556018178958,0.77,0.0,0.77
16,0.49444665505207624,0.4005826057868216,0.5780668641164963,0.82,0.0,0.82
17,0.7470747932713997,0.010544284207814725,0.3023616615621232,0.71,0.0,0.71
18,0.4582416367418281,0.3053267228313795,0.8375423491915266,0.85,0.01,0.84
19,0.164315625056333,0.13206213205926498,0.5839261962280564,0.62,0.0,0.62
20,0.7609505268403732,0.9886673707384565,0.3399801608517673,0.86,0.04,0.82
21,0.4341457405789193,0.3395582630515716,0.8492193902237707,0.85,0.02,0.83
22,0.5251779133183021,0.2036752971936341,0.7818670398886501,0.84,0.0,0.84
23,0.3282028778309187,0.4473039884737582,0.9965910037618838,0.89,0.03,0.86
24,0.27175482548191177,0.44996020011709026,0.9905176679847763,0.88,0.02,0.86
25,0.3131124347445657,0.4818024106155581,0.9950762703484453,0.88,0.05,0.83
26,0.2216277946042292,0.6560188938344244,0.9298622148247769,0.83,0.03,0.7999999999999999
27,0.11797870156720287,0.6038902667014524,0.8931306421366298,0.85,0.0,0.85
28,0.3381026941318625,0.48414595822568335,0.7605358162116744,0.83,0.0,0.83
29,0.2330053458274996,0.7918378679264887,0.9891619710459292,0.9,0.14,0.76
