Layer,NoSafeRate(LlamaGuard3)
1,0.0200
2,0.0200
3,0.0200
4,0.0200
5,0.0200
6,0.0300
7,0.0200
8,0.0300
9,0.0200
10,0.0300
11,0.1200
12,0.4800
13,0.4400
14,0.9100
15,0.8900
16,0.7200
17,0.9300
18,0.8600
19,0.8200
20,0.5100
21,0.2800
22,0.4800
23,0.5000
24,0.6100
25,0.4000
26,0.3900
27,0.0400
28,0.0600
29,0.1000
30,0.0500
31,0.0400
32,0.0200
