Trial,alpha_15,alpha_17,alpha_18,ASR,NGR,Score
0,0.3745401188473625,0.9507143064099162,0.7319939418114051,0.99,0.73,0.26
1,0.5986584841970366,0.15601864044243652,0.15599452033620265,0.73,0.0,0.73
2,0.05808361216819946,0.8661761457749352,0.6011150117432088,0.98,0.25,0.73
3,0.7080725777960455,0.020584494295802447,0.9699098521619943,0.94,0.28,0.6599999999999999
4,0.8324426408004217,0.21233911067827616,0.18182496720710062,0.97,0.02,0.95
5,0.18340450985343382,0.3042422429595377,0.5247564316322378,0.92,0.0,0.92
6,0.43194501864211576,0.2912291401980419,0.6118528947223795,0.96,0.03,0.9299999999999999
7,0.13949386065204183,0.29214464853521815,0.3663618432936917,0.47,0.0,0.47
8,0.45606998421703593,0.7851759613930136,0.19967378215835974,0.97,0.08,0.89
9,0.5142344384136116,0.5924145688620425,0.046450412719997725,0.97,0.0,0.97
10,0.9451365442303868,0.6499487225623292,0.007547319316292933,0.95,0.18,0.77
11,0.8704936397746926,0.4979241399412403,0.03872519996118284,0.97,0.04,0.9299999999999999
12,0.6856887969783978,0.5162949383404514,0.3347951762232361,0.96,0.15,0.8099999999999999
13,0.8060814247589264,0.5125382655057555,0.2268225770125501,0.95,0.14,0.8099999999999999
14,0.29947519702027203,0.620797761287205,0.3554845644619328,0.96,0.03,0.9299999999999999
15,0.5955860320532589,0.012934766105952733,0.10978870051515031,0.35,0.0,0.35
16,0.76038156085369,0.3875942040639607,0.2632533397032377,0.98,0.05,0.9299999999999999
17,0.9986834294539522,0.1447090180501464,0.08636892181927025,0.95,0.0,0.95
18,0.5682562247308772,0.6695713409484217,0.42124357094019904,0.96,0.27,0.69
19,0.3044763506048819,0.40942249270412956,0.8759452702365526,0.96,0.21,0.75
20,0.87170310087551,0.17518937659016864,0.2652139942535425,0.96,0.03,0.9299999999999999
21,0.9962724474730547,0.11172024034027729,0.088795075696255,0.96,0.01,0.95
22,0.9067966870679143,0.21113298038398604,0.013069486468214361,0.95,0.01,0.94
23,0.9990763199259858,0.4134140996927127,0.13683609883612607,0.97,0.14,0.83
24,0.787289001943335,0.08846914893732913,0.10729941421384302,0.89,0.01,0.88
25,0.6798109173400684,0.23112644879990563,0.19969884650104203,0.92,0.0,0.92
26,0.8197599991701079,0.7810386441369601,0.475234950315949,0.97,0.69,0.28
27,0.5336307575828176,0.09192919426612366,0.29722478396018964,0.68,0.0,0.68
28,0.9389083566166678,0.595363830945486,0.0423460114016149,0.97,0.16,0.8099999999999999
29,0.6445790003876686,0.7214699913654479,0.7509972360125259,0.99,0.72,0.27
