Trial,alpha_15,alpha_16,alpha_17,ASR,NGR,Score
0,0.699569186771886,0.4823877890433709,0.36579976636778133,0.83,0.0,0.83
1,0.014473146068627707,0.7055255348867251,0.7012625115948729,0.95,0.0,0.95
2,0.6550124927702881,0.7143412299920133,0.14484788617039002,0.87,0.0,0.87
3,0.48409602023179565,0.18708039483536865,0.6390233079762163,0.92,0.0,0.92
4,0.7409339162797985,0.744578008278173,0.8350177610791583,0.97,0.01,0.96
5,0.49038099212383146,0.9902396752087674,0.4406918174492711,0.95,0.01,0.94
6,0.9249095631351394,0.67370969112153,0.47073740595144953,0.94,0.01,0.9299999999999999
7,0.8622683132958731,0.10934684278332729,0.13980242706957513,0.65,0.0,0.65
8,0.4691294853637703,0.1563218308929133,0.5445512418249294,0.88,0.0,0.88
9,0.3609546387271011,0.5474537288029587,0.9019973895340023,0.98,0.01,0.97
10,0.2056559364608626,0.3792982562554225,0.9992632541408804,0.96,0.01,0.95
11,0.2845841471005205,0.941953730513108,0.9698429998709871,0.98,0.0,0.98
12,0.2773259284783642,0.9857027137389694,0.9726726309434363,0.98,0.02,0.96
13,0.2831679556157348,0.8607099485994147,0.8131049770377002,0.97,0.01,0.96
14,0.11763500662775844,0.3310309769543661,0.8427051197791129,0.95,0.02,0.9299999999999999
15,0.36601723168558126,0.5701974643127827,0.7194438864528245,0.93,0.01,0.92
16,0.3659050546827969,0.8853679303585855,0.8981131853543767,0.96,0.01,0.95
17,0.6063670766812815,0.5217726753557781,0.29348191117078387,0.84,0.0,0.84
18,0.10743689336858342,0.3017667311792548,0.5904778312741705,0.85,0.01,0.84
19,0.36949098092818117,0.8476927028131228,0.7369404419991098,0.97,0.01,0.96
20,0.566358472122833,0.02799357537235736,0.017600516958545587,0.28,0.0,0.28
21,0.7806582684701742,0.7785954887028804,0.8960746292306425,0.99,0.02,0.97
22,0.8446526983133378,0.6043406473036238,0.9199169493886133,0.96,0.02,0.94
23,0.2711797007056779,0.8010645589740983,0.7871172809042831,0.94,0.0,0.94
24,0.7719835700050444,0.9419062603889398,0.9116934676518456,0.96,0.01,0.95
25,0.9988382413745378,0.435587367566918,0.9998038548626333,0.98,0.02,0.96
26,0.41454612851576256,0.6178209613797945,0.6464449787298293,0.93,0.0,0.93
27,0.5562495553608088,0.7826390119287092,0.8752383949919558,0.97,0.02,0.95
28,0.1850333181588572,0.9100543216160085,0.751687726407292,0.94,0.0,0.94
29,0.6770303648681881,0.477968074841111,0.38244092335216406,0.85,0.0,0.85
