Layer,NoSafeRate(LlamaGuard3)
1,0.3800
2,0.3700
3,0.3600
4,0.3900
5,0.4200
6,0.3900
7,0.4000
8,0.3900
9,0.4300
10,0.4000
11,0.5500
12,0.5000
13,0.6500
14,0.7400
15,0.6800
16,0.7500
17,0.8800
18,0.8700
19,0.8400
20,0.7900
21,0.8100
22,0.8000
23,0.8100
24,0.7600
25,0.6900
26,0.6000
27,0.6200
28,0.5300
29,0.5600
30,0.5300
31,0.4300
32,0.3800
