Trial,alpha_15,alpha_17,ASR,NGR,Score
0,0.3124768974958173,0.10564127179047855,0.05,0.0,0.05
1,0.12293821533053018,0.8882577029694193,0.9,0.01,0.89
2,0.42054742256979727,0.2862654977451029,0.39,0.0,0.39
3,0.8082657840378454,0.004808108660906529,0.65,0.0,0.65
4,0.033154473734266166,0.3720328904823632,0.04,0.0,0.04
5,0.9836808039421326,0.6949167690872157,0.97,0.29,0.6799999999999999
6,0.25675174136638645,0.17578081631574216,0.07,0.0,0.07
7,0.1545545543085095,0.5372992685479799,0.24,0.0,0.24
8,0.3185407054449412,0.14300883080379,0.05,0.0,0.05
9,0.8865549960860373,0.5041356464674239,0.97,0.04,0.9299999999999999
10,0.6769453846082621,0.6041764281014121,0.96,0.01,0.95
11,0.6640076818552987,0.6111194270919263,0.96,0.02,0.94
12,0.6497238799931764,0.7326662446582506,0.97,0.07,0.8999999999999999
13,0.6092013308115725,0.6598987559971858,0.97,0.04,0.9299999999999999
14,0.6866866245199045,0.895451402121088,0.96,0.2,0.76
15,0.5355206771052246,0.38572277465756327,0.87,0.0,0.87
16,0.8024681180121491,0.5960496467399199,0.96,0.04,0.9199999999999999
17,0.47762948270477135,0.7794480324797303,0.97,0.01,0.96
18,0.4756427071347386,0.9938008599039968,0.97,0.13,0.84
19,0.544035603269132,0.7974107042154048,0.97,0.04,0.9299999999999999
20,0.39236181170452766,0.8198182939843259,0.97,0.0,0.97
21,0.4131700349360087,0.7981879062006066,0.97,0.0,0.97
22,0.3988968214725148,0.8161875249877403,0.97,0.01,0.96
23,0.4045293641636001,0.9802671065662463,0.96,0.05,0.9099999999999999
24,0.2593436843799526,0.7999815370475029,0.94,0.01,0.9299999999999999
25,0.4864789663455565,0.909831906388657,0.98,0.06,0.9199999999999999
26,0.3217064783804765,0.7341099493796073,0.96,0.0,0.96
27,0.17198297968780296,0.8422079260381113,0.91,0.0,0.91
28,0.5769975077403897,0.7436282940436655,0.94,0.02,0.9199999999999999
29,0.4442941614352712,0.900784317617686,0.98,0.07,0.9099999999999999
