Trial,alpha_17,alpha_18,alpha_19,ASR,NGR,Score
0,0.06884834885524871,0.06709041439657015,0.1337078753025377,0.39,0.0,0.39
1,0.004500491312552479,0.2513516762848327,0.9568909996045408,0.92,0.0,0.92
2,0.7319641114519949,0.14891862090134012,0.8941235631909854,0.93,0.01,0.92
3,0.364408352357279,0.6888797938247471,0.2699953265992181,0.93,0.0,0.93
4,0.16417395034861215,0.35698645812018526,0.5881942326730208,0.89,0.0,0.89
5,0.09608142198447756,0.3704438653261982,0.43246980593403206,0.8,0.0,0.8
6,0.6500767867181156,0.11495512429564969,0.496810860685005,0.91,0.0,0.91
7,0.9256338583204958,0.35710830764942536,0.8725394464035574,0.98,0.31,0.6699999999999999
8,0.9501769892060918,0.6963118305535877,0.5703783128800807,0.93,0.29,0.6400000000000001
9,0.007113084826196769,0.9591645792881809,0.3400589476810595,0.91,0.0,0.91
10,0.34459879017681366,0.6574537300660749,0.020910567076324216,0.88,0.0,0.88
11,0.3415172181486812,0.6459000949334643,0.7352693914353905,0.99,0.01,0.98
12,0.38019052925590924,0.6761580621802429,0.7501173810645713,0.96,0.03,0.9299999999999999
13,0.29906509759161193,0.8687360249677055,0.20782243490604735,0.93,0.0,0.93
14,0.529963174927216,0.5484937292984889,0.7024980423173438,0.94,0.04,0.8999999999999999
15,0.49690680954652144,0.8316901727564959,0.3094655824342162,0.98,0.0,0.98
16,0.5858428702931617,0.84167724400236,0.7235384534568827,0.98,0.29,0.69
17,0.7464930021584907,0.5316090549775474,0.3823905830774757,0.94,0.01,0.9299999999999999
18,0.4693167277723789,0.8374621393726384,0.5872493029877573,0.97,0.08,0.89
19,0.2133966196406079,0.9827488258936412,0.08713442597546606,0.94,0.0,0.94
20,0.4550779184169619,0.7733041502725928,0.8032244044633289,0.98,0.1,0.88
21,0.2625727462566657,0.9746027893374087,0.029227081871934235,0.93,0.0,0.93
22,0.1820980904245325,0.990261700440362,0.18147285516676215,0.94,0.0,0.94
23,0.22777030351810013,0.7892870729604674,0.12911589675111443,0.91,0.0,0.91
24,0.436267180925121,0.5850032284350412,0.31397907867535935,0.92,0.0,0.92
25,0.544500037629853,0.9076108910977501,0.2485338408708115,0.94,0.0,0.94
26,0.6319436099183697,0.742599469551865,0.11763772064226503,0.93,0.01,0.92
27,0.3009684419502381,0.6220818934595352,0.47976839418275236,0.93,0.0,0.93
28,0.16756068969529592,0.4661595909733226,0.657621135368945,0.93,0.0,0.93
29,0.4086948444383071,0.770854868086104,0.08415434879386466,0.92,0.0,0.92
