Trial,alpha_14,alpha_16,alpha_17,ASR,NGR,Score
0,0.7246463198154429,0.13316622072249606,0.7504557519781143,0.88,0.0,0.88
1,0.5035453462237818,0.2097950530330669,0.7439437838294216,0.84,0.0,0.84
2,0.06953951078750498,0.8904903181460077,0.46136130978394974,0.83,0.01,0.82
3,0.9792737410054018,0.03909135715160428,0.44454406603555463,0.79,0.01,0.78
4,0.2595638613965552,0.8691041131374432,0.23177801180891022,0.81,0.0,0.81
5,0.8386582987407045,0.03644408915681374,0.019315133873009094,0.57,0.02,0.5499999999999999
6,0.5403728176609797,0.5192751946499107,0.8811708031778269,0.87,0.05,0.82
7,0.9883732573572028,0.3719568208818139,0.871302608579205,0.91,0.15,0.76
8,0.3637204663708584,0.2604130683526662,0.589523564578548,0.74,0.0,0.74
9,0.8110411592795161,0.7357030498649003,0.7769720945204869,0.94,0.3,0.6399999999999999
10,0.6815918976025562,0.6068942082043296,0.6382548525153822,0.91,0.05,0.86
11,0.681794944634112,0.6805027025335729,0.6415853958034611,0.89,0.05,0.84
12,0.6985084255267054,0.529920262561308,0.9565302485260843,0.92,0.16,0.76
13,0.647359986289785,0.6561630553537281,0.31696680692653345,0.83,0.0,0.83
14,0.8328195361046828,0.37787785306946386,0.6766896653462303,0.88,0.02,0.86
15,0.3673332642203678,0.18638190279539035,0.5630251568679286,0.72,0.0,0.72
16,0.5952820321289659,0.3821721419650351,0.7719087040630248,0.93,0.0,0.93
17,0.5581332590363451,0.3738180163132686,0.8041963891016524,0.89,0.01,0.88
18,0.4104692476835393,0.12319775881336693,0.9693029542687218,0.84,0.0,0.84
19,0.22099855254903877,0.3203854970235135,0.35833543096080345,0.6,0.0,0.6
20,0.7717634546902109,0.4534051689862325,0.73270384711415,0.91,0.06,0.8500000000000001
21,0.5625415951497926,0.40653609751583175,0.8339383905927317,0.88,0.0,0.88
22,0.5929315857847299,0.30259720478380525,0.788979636954921,0.84,0.01,0.83
23,0.40883139649161626,0.14424620034301328,0.9175603940640829,0.86,0.01,0.85
24,0.46356888435305676,0.2546347343484684,0.5425269172635665,0.77,0.0,0.77
25,0.7458567959089424,0.10483286293929513,0.7018191650114566,0.84,0.01,0.83
26,0.8909735226471338,0.9890315905700698,0.8229811911959326,0.94,0.64,0.29999999999999993
27,0.6226716796219135,0.46905887257228474,0.9722534600007591,0.92,0.1,0.8200000000000001
28,0.28195350260412255,0.32543788667179485,0.6260439926466101,0.82,0.0,0.82
29,0.5093578533278659,0.23538122867173025,0.7436669249356181,0.84,0.0,0.84
