Trial,alpha_15,alpha_17,ASR,NGR,Score
0,0.3666742853792627,0.7694147338805083,0.89,0.01,0.88
1,0.18587973987509077,0.6090271428685151,0.84,0.0,0.84
2,0.021747024322018915,0.0883236344722853,0.2,0.0,0.2
3,0.26813982778730283,0.6857914573735642,0.83,0.0,0.83
4,0.46569268082749915,0.8343819550887118,0.93,0.0,0.93
5,0.5436369226678993,0.005655265360499762,0.24,0.0,0.24
6,0.3615941398147289,0.3676278951494838,0.53,0.0,0.53
7,0.6797471175278301,0.6208901614884224,0.88,0.0,0.88
8,0.13813276329035207,0.5844051761981861,0.81,0.0,0.81
9,0.7177668512082048,0.08908228642588956,0.41,0.0,0.41
10,0.884329569886558,0.9506598581581076,0.97,0.01,0.96
11,0.8702344065776322,0.9803826156883362,0.97,0.0,0.97
12,0.9662980059938598,0.9708330863298666,0.95,0.0,0.95
13,0.9889425099513144,0.9702779398268937,0.96,0.0,0.96
14,0.8194787421861833,0.34411653043710483,0.8,0.01,0.79
15,0.8436639230810473,0.9989593202959125,0.97,0.0,0.97
16,0.6587540791363248,0.8307645512028613,0.93,0.0,0.93
17,0.8133089293896433,0.4492077932999873,0.85,0.01,0.84
18,0.6001354989657861,0.861258224281941,0.92,0.0,0.92
19,0.7898089314909963,0.7338048127096259,0.93,0.0,0.93
20,0.9072864135108375,0.8847530501733879,0.97,0.0,0.97
21,0.9067704584016816,0.9924174754323054,0.97,0.0,0.97
22,0.764658788595945,0.9158148731430815,0.94,0.0,0.94
23,0.9042951064452477,0.8772540084148978,0.97,0.0,0.97
24,0.9948058008017214,0.7698472950854639,0.94,0.0,0.94
25,0.8718618883656813,0.8930182944108301,0.97,0.0,0.97
26,0.6080444323711202,0.9950941890288793,0.94,0.0,0.94
27,0.7505275624952165,0.6889221140615704,0.9,0.0,0.9
28,0.8399715505886072,0.8071053614757572,0.94,0.0,0.94
29,0.46610995927162213,0.5180382537221097,0.79,0.0,0.79
