Trial,alpha_16,alpha_17,ASR,NGR,Score
0,0.5908717888313455,0.5620320447747017,0.88,0.0,0.88
1,0.26088249870209346,0.6401788106922017,0.84,0.0,0.84
2,0.08331670924209911,0.8263229667684727,0.89,0.0,0.89
3,0.8814150155306527,0.41711649624781044,0.86,0.0,0.86
4,0.23850539240676982,0.0935838542641354,0.26,0.0,0.26
5,0.5330284956942883,0.2980442196703923,0.72,0.0,0.72
6,0.25973565034979107,0.8137285458067112,0.94,0.01,0.9299999999999999
7,0.09279906194488552,0.4313136806712705,0.52,0.0,0.52
8,0.6301895316276854,0.4251346069031047,0.84,0.0,0.84
9,0.24662179992934186,0.9963450447847045,0.95,0.01,0.94
10,0.9462256113904578,0.9824038093273363,0.97,0.01,0.96
11,0.9778275262972785,0.996430907027227,0.96,0.02,0.94
12,0.7271203668357412,0.977441453262431,0.94,0.0,0.94
13,0.37745040127176677,0.7872685557580634,0.92,0.01,0.91
14,0.4319571872503186,0.7154785585902838,0.9,0.0,0.9
15,0.7755956053143558,0.90782605579833,0.95,0.01,0.94
16,0.41494058564881997,0.017773982652454334,0.29,0.0,0.29
17,0.021992939393424726,0.8814179960011914,0.91,0.0,0.91
18,0.9684601859346652,0.676346212822091,0.92,0.02,0.9
19,0.7600139864679976,0.23888646409996206,0.7,0.0,0.7
20,0.17534242195544603,0.9145690664250927,0.96,0.01,0.95
21,0.23255269255823682,0.9245744673443839,0.95,0.02,0.9299999999999999
22,0.17583508763671463,0.977623367771967,0.93,0.02,0.91
23,0.34277246178577037,0.7501226752699979,0.93,0.01,0.92
24,0.1562444833719767,0.8762913794106117,0.94,0.0,0.94
25,0.6685929850801229,0.5633925511419368,0.91,0.01,0.9
26,0.3198471225982034,0.8423305983178029,0.93,0.01,0.92
27,0.538083420982663,0.9405546806018981,0.95,0.01,0.94
28,0.009790373576779171,0.9991622934904546,0.95,0.0,0.95
29,0.08034066638396749,0.5806974452065294,0.74,0.01,0.73
