Trial,alpha_14,alpha_15,alpha_17,ASR,NGR,Score
0,0.6265674868069149,0.9771247112581753,0.3418722501810879,0.96,0.43,0.53
1,0.18751028562801597,0.6512447165679867,0.793434896065092,0.96,0.16,0.7999999999999999
2,0.7441295186037558,0.8424235911844911,0.7764081840728234,0.95,0.79,0.15999999999999992
3,0.9187623138048534,0.39476738934628985,0.29227832689914734,0.97,0.21,0.76
4,0.7583981363327121,0.9754309941507163,0.6250972219737858,0.97,0.83,0.14
5,0.08767344676945521,0.29872621870381544,0.5723822490711573,0.82,0.0,0.82
6,0.20194763304430186,0.8536657215340802,0.34247251717306026,0.98,0.03,0.95
7,0.5221695930270014,0.539964495535084,0.1482103327500518,0.95,0.05,0.8999999999999999
8,0.1748407035039211,0.7628511451888423,0.8831081748575902,0.97,0.27,0.7
9,0.2560849106152091,0.6963228815606338,0.5931354787253788,0.97,0.09,0.88
10,0.3837982551844183,0.0512287959811345,0.054559831696168404,0.11,0.0,0.11
11,0.46020972341578453,0.5607829594070672,0.04891731847268199,0.95,0.02,0.9299999999999999
12,0.42753864845079603,0.48679616735696696,0.31939655885718216,0.95,0.01,0.94
13,0.01742160972091711,0.2500847138992059,0.36946233159987973,0.16,0.0,0.16
14,0.34256971852373996,0.4288781034720015,0.43376312309243764,0.95,0.01,0.94
15,0.32002111774870745,0.8430999734742934,0.20927327668314927,0.97,0.05,0.9199999999999999
16,0.5478129998143113,0.1388466007040703,0.46956745768965913,0.96,0.02,0.94
17,0.1568190387293522,0.4500760094210261,0.2703565197197948,0.69,0.0,0.69
18,0.43067030543150014,0.6178603902946496,0.14992524855608408,0.94,0.01,0.9299999999999999
19,0.28934580117046066,0.29658613084457697,0.9995343680471096,0.95,0.09,0.86
20,0.5645661972923568,0.7898278015094664,0.41785659770718,0.97,0.28,0.69
21,0.34424293038479203,0.41569748665837847,0.4898638122750554,0.97,0.0,0.97
22,0.24393584652561637,0.4969562015887585,0.528179945835703,0.97,0.01,0.96
23,0.00022951965917006323,0.3571327279775655,0.5334889204789143,0.75,0.0,0.75
24,0.20932602527493302,0.5824259929915986,0.681925944781655,0.97,0.08,0.89
25,0.11322249041621144,0.17715338605580339,0.49976733215792485,0.48,0.0,0.48
26,0.2675476481324017,0.7104370540244913,0.6880825276082416,0.96,0.15,0.8099999999999999
27,0.09125616862164485,0.48810753611910995,0.3931690128892227,0.91,0.01,0.9
28,0.3600264197752354,0.38047400883563653,0.49756140868469184,0.93,0.0,0.93
29,0.2259536463432644,0.8763682609545238,0.22751311456238588,0.96,0.03,0.9299999999999999
