Trial,alpha_15,alpha_16,alpha_17,ASR,NGR,Score
0,0.9448408161131707,0.15505711974614478,0.7695228934112638,0.89,0.04,0.85
1,0.7241920638875915,0.19252418355871248,0.41552963694975653,0.79,0.0,0.79
2,0.18022525222639874,0.8861764272853457,0.6405676159864734,0.89,0.06,0.8300000000000001
3,0.011546133462856711,0.5094581698172818,0.662007337836842,0.81,0.0,0.81
4,0.7903796305714818,0.9378522456487034,0.015660321086606532,0.87,0.05,0.82
5,0.9110748201871183,0.31858900838576776,0.5102676562755439,0.86,0.01,0.85
6,0.83712940379043,0.6641127908819638,0.7896498344267235,0.93,0.32,0.6100000000000001
7,0.8731126929887048,0.48279809436311294,0.17270886123853701,0.84,0.0,0.84
8,0.8795775532625413,0.6979903016563574,0.014134979445280527,0.88,0.0,0.88
9,0.16922592455437968,0.5301522859029326,0.9591924274361586,0.87,0.01,0.86
10,0.5506889626877071,0.7681610040694118,0.27084334189102177,0.84,0.01,0.83
11,0.3340529109605824,0.5724008476763829,0.9590798083140024,0.88,0.09,0.79
12,0.5322829877289887,0.38189977664604824,0.9938457957063014,0.88,0.07,0.81
13,0.3380888261703471,0.7191584487349508,0.08759779257277603,0.75,0.0,0.75
14,0.6493883423674407,0.812019852404539,0.32743681877534075,0.86,0.07,0.79
15,0.30657549328873857,0.033206884921391344,0.5042190219771373,0.63,0.0,0.63
16,0.028271054089861025,0.6610693578414574,0.2014380801969635,0.69,0.0,0.69
17,0.2147870147678942,0.371017664222162,0.8762117146857697,0.85,0.01,0.84
18,0.47381881536840703,0.564054952583632,0.6168711377834524,0.86,0.02,0.84
19,0.4379225285771252,0.4411145630387514,0.37424798685739236,0.8,0.0,0.8
20,0.6565464652406354,0.8473584787571584,0.7689565107559827,0.92,0.38,0.54
21,0.9910675246607354,0.23084800896111926,0.8769870491721822,0.92,0.12,0.8
22,0.9561985787863041,0.12386143214782452,0.7902108077889707,0.88,0.03,0.85
23,0.7856729972021327,0.6054894356067735,0.8780878366695547,0.94,0.33,0.6099999999999999
24,0.6354842386847115,0.025706483337525482,0.7302740121238229,0.78,0.0,0.78
25,0.16944935173687709,0.2301037756663108,0.5856522988494183,0.66,0.0,0.66
26,0.9144347821966031,0.6983094100379408,0.9443510679157943,0.93,0.59,0.3400000000000001
27,0.10448005496382173,0.977050978273015,0.8502114175142303,0.9,0.27,0.63
28,0.7279740888127958,0.2900569669595544,0.6848096764663687,0.86,0.0,0.86
29,0.7719073988195113,0.30876923781771726,0.5543912847727336,0.86,0.01,0.85
