Trial,alpha_19,alpha_20,ASR,NGR,Score
0,0.32774861142597844,0.9098153691572085,0.92,0.0,0.92
1,0.19925461356003815,0.23599868868297114,0.49,0.0,0.49
2,0.12333821139375067,0.22014518343233724,0.47,0.0,0.47
3,0.3972154618915327,0.34741136539160233,0.69,0.0,0.69
4,0.6944821169108805,0.8688155454350746,0.94,0.06,0.8799999999999999
5,0.3185429004010941,0.6195777314259742,0.82,0.0,0.82
6,0.044599722457473345,0.4596015530243901,0.52,0.0,0.52
7,0.9717246615852491,0.6043564435393856,0.98,0.03,0.95
8,0.28512058058734147,0.3739582781212488,0.59,0.0,0.59
9,0.9442114776845814,0.38559184105845223,0.92,0.01,0.91
10,0.9654755452959803,0.6735760025461749,0.97,0.08,0.89
11,0.5842427104947214,0.9721239572507503,0.96,0.1,0.86
12,0.7684748559093137,0.033210329630846025,0.75,0.0,0.75
13,0.467376506933074,0.7497371520977142,0.9,0.01,0.89
14,0.5862612535655112,0.8363733149310183,0.91,0.02,0.89
15,0.7819251406768002,0.5669556085393807,0.92,0.01,0.91
16,0.502354427436815,0.9813724331239495,0.91,0.04,0.87
17,0.8874635654849713,0.7572464756165169,0.97,0.1,0.87
18,0.2506360887773506,0.5184572165238882,0.73,0.0,0.73
19,0.4104485230772764,0.8884928484895149,0.93,0.0,0.93
20,0.6369308799046287,0.7035008536368883,0.91,0.02,0.89
21,0.4225182500824196,0.8945965918708525,0.92,0.0,0.92
22,0.3569024014299231,0.8073924120097846,0.89,0.01,0.88
23,0.5133296458465718,0.9140949654755397,0.92,0.02,0.9
24,0.20577926266081475,0.6234058027695337,0.78,0.0,0.78
25,0.8266867211662214,0.9997380620993758,0.97,0.2,0.77
26,0.10977404959744952,0.795007724403644,0.81,0.0,0.81
27,0.36863019291488497,0.9221303221242781,0.91,0.0,0.91
28,0.6785883957729606,0.6612430502388373,0.89,0.01,0.88
29,0.16637255707873733,0.23825679041516962,0.47,0.0,0.47
