Trial,alpha_14,alpha_17,ASR,NGR,Score
0,0.7355797173932664,0.673815098899263,0.96,0.06,0.8999999999999999
1,0.2851826606126605,0.4593543560249659,0.36,0.0,0.36
2,0.6211036446031672,0.2235542777229934,0.7,0.0,0.7
3,0.6714338534904728,0.7866861708613301,0.96,0.08,0.88
4,0.6173670462125695,0.5761473975689986,0.94,0.01,0.9299999999999999
5,0.4435101083280968,0.3977304096881277,0.58,0.01,0.57
6,0.1292231723290449,0.7320040387239388,0.62,0.0,0.62
7,0.4864665509201832,0.7777471410860005,0.96,0.01,0.95
8,0.0630911852435494,0.6557099994747583,0.37,0.0,0.37
9,0.5661959628637871,0.5218305154381389,0.91,0.0,0.91
10,0.925365528468891,0.9924889959972372,0.97,0.51,0.45999999999999996
11,0.37016008789027577,0.0033666809150569854,0.09,0.0,0.09
12,0.8180874100561251,0.9339976731730492,0.98,0.31,0.6699999999999999
13,0.26143517458992255,0.854355652957932,0.94,0.03,0.9099999999999999
14,0.5147698481232127,0.5821056272940779,0.89,0.0,0.89
15,0.9468794728605138,0.3165870945038648,0.96,0.01,0.95
16,0.9807468120532891,0.30960862346428214,0.98,0.08,0.9
17,0.8298829074161949,0.1588421692772483,0.94,0.01,0.9299999999999999
18,0.4578436863943277,0.37084405495358586,0.56,0.01,0.55
19,0.7608000203259763,0.12187338453596874,0.86,0.0,0.86
20,0.20726330076562438,0.3061115782767764,0.08,0.0,0.08
21,0.37178238832517074,0.504779761914761,0.6,0.01,0.59
22,0.8983481649280995,0.6056482959826328,0.98,0.13,0.85
23,0.6535968965274772,0.8518176606050497,0.98,0.09,0.89
24,0.5646135733694162,0.4404745203843497,0.89,0.01,0.88
25,0.36786125542339243,0.7421565155860455,0.93,0.0,0.93
26,0.3651252375171751,0.7555561840071988,0.95,0.0,0.95
27,0.42355445722899454,0.8567725683644589,0.97,0.02,0.95
28,0.3042383406866132,0.7826255305676679,0.92,0.0,0.92
29,0.1906472930981692,0.6754137071932574,0.57,0.0,0.57
