Trial,alpha_17,alpha_19,alpha_20,ASR,NGR,Score
0,0.6879254794084947,0.9755941860348715,0.7401101534294344,0.98,0.51,0.47
1,0.9439593257515057,0.07126119747818305,0.7976883554293129,0.98,0.12,0.86
2,0.19859362923827006,0.710464987811497,0.8967591353108925,0.97,0.14,0.83
3,0.5912128959008491,0.49180696301691207,0.5777871090692863,0.96,0.02,0.94
4,0.8413606231157107,0.24991945187805142,0.23545505308108106,0.94,0.0,0.94
5,0.8691873463917659,0.9315529524198939,0.4333774123401083,0.97,0.33,0.6399999999999999
6,0.09046444189920633,0.6637890395499149,0.9543413607466139,0.98,0.11,0.87
7,0.08511998323590919,0.6325625934406678,0.2592791316904902,0.82,0.01,0.8099999999999999
8,0.23135069913333683,0.12552009334675318,0.5344495417077452,0.77,0.0,0.77
9,0.5348664540475386,0.7558767636791911,0.011087401163275445,0.9,0.01,0.89
10,0.43949842221195856,0.38053566504728165,0.6141794361703288,0.95,0.0,0.95
11,0.44117458435121565,0.382373972531425,0.6105335854041769,0.95,0.0,0.95
12,0.36020719309535465,0.3309607701335256,0.6591563138480185,0.91,0.0,0.91
13,0.39442427674611724,0.4206455618696201,0.440837707063384,0.9,0.0,0.9
14,0.4000361378875776,0.23325648756406236,0.3296239489642214,0.84,0.0,0.84
15,0.6348612749226243,0.39492235379017904,0.6814977345670102,0.97,0.05,0.9199999999999999
16,0.7269590451633121,0.5614351483471013,0.8106245437754621,0.97,0.27,0.7
17,0.4428533934162632,0.2752823649355654,0.6024014618112856,0.92,0.01,0.91
18,0.26662397383816744,0.46455691234231755,0.44377499821570576,0.88,0.0,0.88
19,0.5182397142014132,0.18936323004139355,0.09939190563133149,0.74,0.0,0.74
20,0.3038446995547116,0.02821302372830259,0.8836304327446165,0.88,0.0,0.88
21,0.5775094916886928,0.5292467991496042,0.5738401447946371,0.95,0.04,0.9099999999999999
22,0.46348802404368067,0.36757655981172654,0.6585909968328385,0.93,0.0,0.93
23,0.5804947879375084,0.504393462255547,0.5181205866708786,0.97,0.0,0.97
24,0.7815592552331256,0.8045547377246435,0.35443262666771724,0.95,0.08,0.87
25,0.6554409101856319,0.5707656441526698,0.7246420141840128,0.98,0.19,0.79
26,0.326378283606353,0.32433749196109446,0.5161823786104842,0.88,0.0,0.88
27,0.1578842501898553,0.15895987911946952,0.38069139306173505,0.56,0.0,0.56
28,0.501670362492565,0.47814540335061384,0.47898525358139205,0.95,0.0,0.95
29,0.7344626944025819,0.6098621516366535,0.7598479233811537,0.96,0.2,0.76
