Trial,alpha_17,alpha_18,alpha_20,ASR,NGR,Score
0,0.9392543489420517,0.6609534493143219,0.7704398746776743,0.98,0.61,0.37
1,0.520830746078421,0.46630047480378956,0.8297015736983953,0.95,0.14,0.8099999999999999
2,0.7979585208246112,0.512652326671076,0.9851102566482747,0.99,0.55,0.43999999999999995
3,0.677156624592902,0.9812543184015765,0.5427242956554587,0.96,0.37,0.59
4,0.0037222735509675475,0.017137544876691835,0.7391542129736692,0.76,0.0,0.76
5,0.35241393302999113,0.4692603163208684,0.2999291989500268,0.89,0.0,0.89
6,0.8847528047590685,0.01891642250073655,0.28180632705917985,0.92,0.0,0.92
7,0.5807584192054307,0.9897349033753418,0.9300893112335565,0.98,0.76,0.21999999999999997
8,0.3984771968761949,0.02304703063099911,0.6027939202380594,0.83,0.0,0.83
9,0.6909251981073594,0.378663321008906,0.5494623562206632,0.96,0.04,0.9199999999999999
10,0.9961123168533873,0.21630290819933007,0.013625480963732728,0.93,0.0,0.93
11,0.9597806039805408,0.2112855037072494,0.0069468389128844454,0.92,0.0,0.92
12,0.8484708949014867,0.1843879702513158,0.08589687499800136,0.92,0.0,0.92
13,0.9920431382948127,0.2021881716606032,0.23807148501759728,0.95,0.0,0.95
14,0.9971949107881215,0.2646165880864109,0.22498871322425096,0.95,0.02,0.9299999999999999
15,0.23914052470352154,0.3048084782447048,0.13112551762028957,0.58,0.0,0.58
16,0.7145995250924875,0.7362771763432007,0.38854137173642345,0.95,0.05,0.8999999999999999
17,0.7889339976464952,0.14838359788262223,0.15479206284833047,0.92,0.0,0.92
18,0.16458542628465822,0.3710075246159536,0.415635091522381,0.83,0.0,0.83
19,0.9876999676316661,0.10728205244007118,0.026784449679635974,0.94,0.0,0.94
20,0.6104145107306624,0.10317532488466684,0.20920754075345463,0.83,0.01,0.82
21,0.9059050140157279,0.12106448917523109,0.005538950413498028,0.9,0.0,0.9
22,0.8008308675353284,0.28496451475232837,0.08456963367573314,0.93,0.0,0.93
23,0.979492581092531,0.11223567852278749,0.048401656690330044,0.93,0.0,0.93
24,0.8676148607598536,0.3636131975243262,0.35099652963169986,0.95,0.0,0.95
25,0.872432575090697,0.346938707145134,0.36821267678101166,0.95,0.0,0.95
26,0.7426762445862864,0.5497314754053434,0.38509535160382696,0.94,0.03,0.9099999999999999
27,0.8664883913151126,0.3711807092459964,0.4628358961199853,0.93,0.03,0.9
28,0.8369497787901862,0.5889268961432146,0.28053359666257743,0.97,0.04,0.9299999999999999
29,0.6009342974376026,0.7011603437304559,0.33243601799753236,0.96,0.05,0.9099999999999999
