Trial,alpha_14,alpha_15,alpha_18,ASR,NGR,Score
0,0.45082803028667784,0.09982592569792914,0.6507250614443667,0.96,0.0,0.96
1,0.6455650414089186,0.33450330786102567,0.5495037548944176,0.96,0.05,0.9099999999999999
2,0.8670354671274302,0.7055776826049005,0.2211107120414887,0.95,0.27,0.6799999999999999
3,0.21190608437867575,0.8703978760027248,0.05808684832208966,0.94,0.01,0.9299999999999999
4,0.4203399180466382,0.5676055197208733,0.40267784429067865,0.96,0.02,0.94
5,0.3780922310088498,0.016579647420920773,0.7090428205848837,0.74,0.0,0.74
6,0.45066393500252366,0.8635711415176945,0.277489164246726,0.98,0.14,0.84
7,0.12684120457233838,0.5460087641767283,0.06930463549360943,0.44,0.0,0.44
8,0.012560400734725197,0.42713770776678395,0.6015466796365727,0.82,0.0,0.82
9,0.6956543343633397,0.9794299006646697,0.7645543835114089,0.95,0.81,0.1399999999999999
10,0.67799378925875,0.12525797154492516,0.9584941663948132,0.96,0.21,0.75
11,0.3582101641690052,0.25009584957296105,0.3814912008680716,0.73,0.0,0.73
12,0.5394825886056795,0.6103970284316409,0.4521179054425136,0.97,0.11,0.86
13,0.30168813886864926,0.21348877771895014,0.8375175953493301,0.96,0.01,0.95
14,0.26363766576255077,0.19496616471934788,0.9522511973367361,0.97,0.04,0.9299999999999999
15,0.9715835503329006,0.08485947620406817,0.7664662706979934,0.96,0.29,0.6699999999999999
16,0.5565953964857016,0.34957924890054987,0.8580912658781842,0.96,0.15,0.8099999999999999
17,0.2712411852951354,0.23523049707499338,0.6496452357669371,0.91,0.0,0.91
18,0.13358743974163412,0.0142600908188881,0.8478817483144199,0.73,0.0,0.73
19,0.8046448276392518,0.4208483164694884,0.8438972111415689,0.97,0.42,0.55
20,0.5311452197426869,0.17710516691633926,0.5452544591089518,0.96,0.03,0.9299999999999999
21,0.396064409909325,0.673748990024718,0.4184121501729548,0.97,0.07,0.8999999999999999
22,0.29554502626122425,0.32305880427027633,0.2815891343279945,0.62,0.0,0.62
23,0.4737490609116202,0.4720669752448265,0.6629519833326685,0.97,0.05,0.9199999999999999
24,0.6105263196682131,0.5381916519876218,0.3512708567221535,0.96,0.07,0.8899999999999999
25,0.4319350803486883,0.1286269680159689,0.5174721944252798,0.82,0.01,0.8099999999999999
26,0.3410860109054304,0.2551676201219332,0.17882600856731154,0.49,0.0,0.49
27,0.21382008961014198,0.6902577962344841,0.7571978410690489,0.97,0.12,0.85
28,0.15771506436221988,0.76739704474245,0.46531564652705637,0.97,0.06,0.9099999999999999
29,0.616747866096388,0.33642469871019187,0.5962649450627842,0.97,0.06,0.9099999999999999
