Trial,alpha_16,alpha_17,alpha_18,ASR,NGR,Score
0,0.06669363048092447,0.9776703595139433,0.9874247420944703,0.96,0.01,0.95
1,0.8422431260181092,0.9557650873961351,0.809714715346603,0.95,0.03,0.9199999999999999
2,0.6434297517961077,0.24254359851044793,0.2673329369560016,0.87,0.0,0.87
3,0.9150383583950347,0.3966384172820582,0.6912449404800349,0.95,0.02,0.9299999999999999
4,0.1849463022958846,0.20724032911583157,0.8011920621787386,0.91,0.0,0.91
5,0.7970536449713996,0.7921390863368826,0.13970862872882583,0.95,0.01,0.94
6,0.41700297411364984,0.4973805115325858,0.930249239791506,0.96,0.0,0.96
7,0.13425061885204204,0.0959710392340134,0.9986311914870535,0.92,0.0,0.92
8,0.46353551343380905,0.25900706182301714,0.5191413815386287,0.9,0.01,0.89
9,0.6948508069220434,0.7175251316229248,0.27666386485361316,0.94,0.0,0.94
10,0.4025027684839301,0.6243887048223987,0.5179501361721093,0.96,0.0,0.96
11,0.38190387277259036,0.5653518577215197,0.50798141765939,0.97,0.02,0.95
12,0.307542981345661,0.48953343500386554,0.009882927099711614,0.76,0.0,0.76
13,0.5658625184533028,0.6504890489289026,0.6152285457678129,0.96,0.01,0.95
14,0.29186585523955766,0.42741878389393617,0.3702252199482242,0.88,0.01,0.87
15,0.4546530452440575,0.8216741356384639,0.7865465658613613,0.96,0.03,0.9299999999999999
16,0.250662926426526,0.5733102355748485,0.41382800275118636,0.95,0.0,0.95
17,0.542633826067835,0.37852061967183204,0.6397329496066559,0.96,0.0,0.96
18,0.3883535100491773,0.6510605092584943,0.8927488112801423,0.96,0.0,0.96
19,0.017933909967774664,0.8536513736872791,0.672767183489402,0.96,0.01,0.95
20,0.6369980222094191,0.05018042784154708,0.16378128656915059,0.47,0.0,0.47
21,0.5504847675408655,0.33217228438387303,0.5836886103739838,0.94,0.0,0.94
22,0.398106220508518,0.5088888709662098,0.44094840120057577,0.96,0.0,0.96
23,0.5234722042137386,0.3804232327087529,0.7238033535256412,0.97,0.01,0.96
24,0.7138483377433521,0.4778502341081213,0.8765262976050323,0.95,0.0,0.95
25,0.318777771060694,0.6078362398689945,0.5915124925927292,0.96,0.01,0.95
26,0.4765062111041343,0.3277613923792835,0.3656409611907699,0.89,0.0,0.89
27,0.599482689988603,0.7210448900834385,0.9156062455942989,0.97,0.02,0.95
28,0.21066062397819765,0.16537142317224046,0.6421484637116127,0.81,0.01,0.8
29,0.36917125610823254,0.3067268966087307,0.5558503958612673,0.94,0.01,0.9299999999999999
